Source,Target,Weight,Type
Sonety krymskie VI.,Sonety krymskie VII.,4,undirected
Sonety krymskie VI.,Sonety XII.,3,undirected
Sonety krymskie VI.,Sonety XVII.,5,undirected
Sonety krymskie VII.,Sonety krymskie VI.,4,undirected
Sonety krymskie VII.,Sonety XII.,3,undirected
Sonety krymskie VII.,Sonety XVII.,2,undirected
Sonety krymskie XI.,Sonety VII.,1,undirected
Sonety krymskie XI.,Sonety krymskie X.,4,undirected
Sonety krymskie XI.,Sonety II.,5,undirected
Sonety VI.,Sonety I.,2,undirected
Sonety VI.,Sonety IX.,4,undirected
Sonety VI.,Sonety krymskie I.,1,undirected
Sonety XI.,Sonety VII.,1,undirected
Sonety XI.,Sonety XIV.,1,undirected
Sonety XI.,Nie wrócę już!,6,undirected
Sonety XI.,Sonety XIX.,5,undirected
Sonety XII.,Sonety krymskie III.,1,undirected
Sonety XII.,Sonety krymskie VI.,3,undirected
Sonety XII.,Sonety krymskie VII.,3,undirected
Sonety XII.,Sonety XII.,6,undirected
Sonety XII.,Sonety XVII.,4,undirected
Sonety XIV.,Sonety VII.,4,undirected
Sonety XIV.,Sonety XI.,1,undirected
Sonety XIV.,Nie wrócę już!,2,undirected
Sonety XIV.,Sonety XXII.,2,undirected
Nie wrócę już!,Sonety VII.,4,undirected
Nie wrócę już!,Sonety XI.,6,undirected
Nie wrócę już!,Sonety XIV.,2,undirected
Nie wrócę już!,Sonety XIX.,3,undirected
Nowe życie.,Błękit duszy.,1,undirected
Nowe życie.,Co mi się marzy?,1,undirected
Nowe życie.,Niewymarzona, a cudowna.,1,undirected
Nowe życie.,Do Duchów.,1,undirected
Nowe życie.,Do Pani D. P.[*],1,undirected
Nowe życie.,Czas i wieczność.,1,undirected
Nowe życie.,Postanowienie.,1,undirected
Nowe życie.,Miłość ideału.,1,undirected
Nowe życie.,Sonety VII.,1,undirected
Nowe życie.,Pożegnanie Italii.,1,undirected
Nowe życie.,Boleść rozłączenia.,1,undirected
Nowe życie.,Sonety krymskie IV.,1,undirected
Nowe życie.,Sonety IV.,1,undirected
Nowe życie.,Sonety krymskie II.,3,undirected
Nowe życie.,Gdzie cisza?,1,undirected
Nowe życie.,Sonety krymskie XIII.,1,undirected
Nowe życie.,Sonety krymskie XIV.,6,undirected
Nowe życie.,Sonety XVIII.,1,undirected
Nowe życie.,Sonety XXI.,1,undirected
Sonety IV.,Sonety X.,2,undirected
Sonety IV.,Sonety VII.,3,undirected
Sonety IV.,Nowe życie.,1,undirected
Sonety krymskie II.,Sonety X.,5,undirected
Sonety krymskie II.,Nowe życie.,3,undirected
Sonety krymskie II.,Gdzie cisza?,6,undirected
Sonety krymskie II.,Sonety krymskie XIV.,1,undirected
Sonety krymskie VIII.,Sonety VII.,1,undirected
Sonety krymskie VIII.,Sonety krymskie XVII.,5,undirected
Sonety krymskie VIII.,Sonety krymskie XII.,4,undirected
Sonety krymskie XVI.,Sonety I.,3,undirected
Sonety krymskie XVI.,Sonety krymskie XVIII.,6,undirected
Sonety krymskie XVI.,Sonety krymskie I.,3,undirected
Sonety krymskie XVI.,Sonety krymskie XIV.,2,undirected
Sonety krymskie XVII.,Sonety VII.,1,undirected
Sonety krymskie XVII.,Sonety krymskie VIII.,5,undirected
Sonety krymskie XVII.,Sonety krymskie XII.,6,undirected
Sonety krymskie XVIII.,Sonety I.,2,undirected
Sonety krymskie XVIII.,Sonety krymskie XVI.,6,undirected
Sonety krymskie XVIII.,Sonety krymskie I.,2,undirected
Sonety krymskie XVIII.,Sonety krymskie IX.,3,undirected
Sonety V.,Sonety X.,1,undirected
Sonety V.,Sonety VII.,2,undirected
Sonety V.,Sonety XIII.,3,undirected
Sonety XIII.,Sonety X.,1,undirected
Sonety XIII.,Sonety VII.,2,undirected
Sonety XIII.,Sonety V.,3,undirected
Sonety XIII.,Sonety XIII.,6,undirected
Sonety XIX.,Sonety VII.,1,undirected
Sonety XIX.,Sonety XI.,5,undirected
Sonety XIX.,Nie wrócę już!,3,undirected
Sonety XXII.,Sonety VII.,1,undirected
Sonety XXII.,Sonety XIV.,2,undirected
Sonety XXII.,Sonety XVII.,3,undirected
Gdzie cisza?,Sonety X.,4,undirected
Gdzie cisza?,Nowe życie.,1,undirected
Gdzie cisza?,Sonety krymskie II.,6,undirected
Sonety krymskie I.,Sonety krymskie III.,5,undirected
Sonety krymskie I.,Sonety IX.,5,undirected
Sonety krymskie I.,Sonety VI.,1,undirected
Sonety krymskie I.,Sonety krymskie XVI.,3,undirected
Sonety krymskie I.,Sonety krymskie XVIII.,2,undirected
Sonety krymskie I.,Sonety krymskie IX.,2,undirected
Sonety krymskie IX.,Sonety VII.,1,undirected
Sonety krymskie IX.,Sonety XX.,1,undirected
Sonety krymskie IX.,Sonety krymskie XVIII.,3,undirected
Sonety krymskie IX.,Sonety krymskie I.,2,undirected
Sonety krymskie XII.,Sonety VII.,1,undirected
Sonety krymskie XII.,Sonety krymskie VIII.,4,undirected
Sonety krymskie XII.,Sonety krymskie XVII.,6,undirected
Sonety krymskie XIII.,Sonety X.,2,undirected
Sonety krymskie XIII.,Sonety VII.,3,undirected
Sonety krymskie XIII.,Nowe życie.,1,undirected
Sonety krymskie XIV.,Nowe życie.,6,undirected
Sonety krymskie XIV.,Sonety krymskie II.,1,undirected
Sonety krymskie XIV.,Sonety krymskie XVI.,2,undirected
Sonety VIII.,Sonety X.,1,undirected
Sonety VIII.,Sonety VII.,2,undirected
Sonety VIII.,Sonety XV.,6,undirected
Sonety XVII.,Sonety krymskie VI.,5,undirected
Sonety XVII.,Sonety krymskie VII.,2,undirected
Sonety XVII.,Sonety XII.,4,undirected
Sonety XVII.,Sonety XXII.,3,undirected
Sonety XVIII.,Sonety X.,2,undirected
Sonety XVIII.,Sonety VII.,3,undirected
Sonety XVIII.,Nowe życie.,1,undirected
Sonety XXI.,Sonety X.,2,undirected
Sonety XXI.,Sonety VII.,3,undirected
Sonety XXI.,Nowe życie.,1,undirected
