Source,Target,Weight,Type
Kochanowski_THREN I.,Kochanowski_THREN II.,2,undirected
Kochanowski_THREN I.,Kochanowski_THREN IX.,1,undirected
Kochanowski_THREN I.,Kochanowski_THREN XII.,3,undirected
Kochanowski_THREN II.,Kochanowski_THREN I.,2,undirected
Kochanowski_THREN II.,Kochanowski_THREN IX.,3,undirected
Kochanowski_THREN II.,Kochanowski_THREN XII.,2,undirected
Kochanowski_THREN II.,Kochanowski_THREN XIX.,3,undirected
Kochanowski_THREN II.,Kochanowski_THREN XV.,3,undirected
Kochanowski_THREN II.,Kochanowski_THREN XVI.,2,undirected
Kochanowski_THREN II.,Kochanowski_THREN XVII.,2,undirected
Kochanowski_THREN II.,Krasiński_Błękit duszy.,3,undirected
Kochanowski_THREN II.,Krasiński_Boleść rozłączenia.,3,undirected
Kochanowski_THREN II.,Krasiński_Co mi się marzy?,3,undirected
Kochanowski_THREN II.,Krasiński_Czas i wieczność.,3,undirected
Kochanowski_THREN II.,Krasiński_Do Duchów.,3,undirected
Kochanowski_THREN II.,Krasiński_Do Pani D. P.[*],3,undirected
Kochanowski_THREN II.,Krasiński_Miłość ideału.,1,undirected
Kochanowski_THREN II.,Krasiński_Niewymarzona, a cudowna.,3,undirected
Kochanowski_THREN II.,Krasiński_Postanowienie.,3,undirected
Kochanowski_THREN II.,Krasiński_Pożegnanie Italii.,3,undirected
Kochanowski_THREN II.,Mickiewicz_Sonety VII.,3,undirected
Kochanowski_THREN II.,Oppman_PIASKARZ.,3,undirected
Kochanowski_THREN II.,Oppman_SZOPKA.,3,undirected
Kochanowski_THREN IX.,Kochanowski_THREN I.,1,undirected
Kochanowski_THREN IX.,Kochanowski_THREN II.,3,undirected
Kochanowski_THREN IX.,Kochanowski_THREN IX.,6,undirected
Kochanowski_THREN IX.,Kochanowski_THREN XII.,1,undirected
Kochanowski_THREN IX.,Kochanowski_THREN XIX.,2,undirected
Kochanowski_THREN IX.,Kochanowski_THREN XV.,2,undirected
Kochanowski_THREN IX.,Kochanowski_THREN XVI.,5,undirected
Kochanowski_THREN IX.,Kochanowski_THREN XVII.,1,undirected
Kochanowski_THREN IX.,Krasiński_Błękit duszy.,2,undirected
Kochanowski_THREN IX.,Krasiński_Boleść rozłączenia.,2,undirected
Kochanowski_THREN IX.,Krasiński_Co mi się marzy?,2,undirected
