gutenberg_id,text,title,author,id
27081,"Potępi nas świętoszek, rozpustnik wyśmieje,",Sonety V.,Mickiewicz,79
27081,"Że chociaż samotnemi otoczeni ściany,",Sonety V.,Mickiewicz,80
27081,"Chociaż ona tak młoda, ja tak zakochany,",Sonety V.,Mickiewicz,81
27081,Przecież ja oczy spuszczam a ona łzy leje.,Sonety V.,Mickiewicz,82
27081,"Ja bronię się ponętom, ona i nadzieje",Sonety V.,Mickiewicz,83
27081,"Chce odstraszyć, co chwila brząkając kajdany,",Sonety V.,Mickiewicz,84
27081,Któremi ręce związał nam los opłakany.,Sonety V.,Mickiewicz,85
27081,"Nie wiémy sami, co się w sercach naszych dzieje.",Sonety V.,Mickiewicz,86
27081,Jestże to ból? lub roskosz? gdy czuję ściśnienia,Sonety V.,Mickiewicz,87
27081,"Twych dłoni, kiedy z ustek zachwycę płomienia,",Sonety V.,Mickiewicz,88
27081,Luba! czyż mogę temu dać imię cierpienia?,Sonety V.,Mickiewicz,89
27081,"Ale kiedy się łzami nasze lica zroszą,",Sonety V.,Mickiewicz,90
27081,"Gdy się ostatki życia w westchnieniach unoszą,",Sonety V.,Mickiewicz,91
27081,Luba! czyliż to mogę nazywać rozkoszą?,Sonety V.,Mickiewicz,92
27081,VI.,remove,Mickiewicz,93
27081,RANEK I WIECZÓR.,remove,Mickiewicz,94
27081,"Słońce błyszczy na wschodzie w chmur ognistych wianku,",Sonety VI.,Mickiewicz,95
27081,"A na zachodzie xiężyc blade lice mroczy,",Sonety VI.,Mickiewicz,96
27081,"Róża za słońcem pączki rozwinione toczy,",Sonety VI.,Mickiewicz,97
27081,Fijołek klęczy zgięty pod kroplami ranku.,Sonety VI.,Mickiewicz,98
27081,"Laura błysnęła w oknie, ukląkłem na ganku;",Sonety VI.,Mickiewicz,99
27081,"Ona muskając sploty swych złotych warkoczy,",Sonety VI.,Mickiewicz,100
27081,"Czemu, rzekła, tak rano smutne macie oczy,",Sonety VI.,Mickiewicz,101
27081,"I miesiąc i fijołek i ty mój kochanku?""",Sonety VI.,Mickiewicz,102
27081,W wieczór przyszedłem nowym bawić się widokiem;,Sonety VI.,Mickiewicz,103
27081,"Wraca xiężyc, twarz jego pełna i rumiana,",Sonety VI.,Mickiewicz,104
27081,Fijołek podniósł listki otrzeźwione mrokiem.,Sonety VI.,Mickiewicz,105
27081,"Znowu stanęła w oknie moja ukochana,",Sonety VI.,Mickiewicz,106
27081,"W piękniejszym jeszcze stroju i z weselszém okiem,",Sonety VI.,Mickiewicz,107
27081,Znowu u nóg jéj klęczę -- tak smutny jak zrana.,Sonety VI.,Mickiewicz,108
27081,VII.,remove,Mickiewicz,109
27081,s PETRARKI.,remove,Mickiewicz,110
27081,_Senuccio i vo' che sappi._,remove,Mickiewicz,111
27081,Chcecie wiedzieć co cierpię rówiennicy moi?,Sonety VII.,Mickiewicz,112
27081,Odmaluję najwierniéj ile pióro zdoła.,Sonety VII.,Mickiewicz,113
27081,Mary ja dotąd pośród pamiątek kościoła,Sonety VII.,Mickiewicz,114
27081,"Myślą gonię, i duch mój o przeszłości roi.",Sonety VII.,Mickiewicz,115
27081,"Tu zwykła igrać, ówdzie zamyślona stoi,",Sonety VII.,Mickiewicz,116
27081,"Tam z niechęcią twarz kryła, tu mię okiem woła,",Sonety VII.,Mickiewicz,117
27081,"Tu gniewna, tam posępna, tu znowu wesoła,",Sonety VII.,Mickiewicz,118
27081,"Tu swe lica w łagodność, tu w powagę stroi.",Sonety VII.,Mickiewicz,119
27081,"Tam piosenkę nuciła, tu mi dłoń ścisnęła,",Sonety VII.,Mickiewicz,120
27081,"Tu usiadła, tam naszéj rozmowy początek,",Sonety VII.,Mickiewicz,121
27081,"Stąd biegła, tu na piasku imię moje kryśli,",Sonety VII.,Mickiewicz,122
27081,"Tam słówko powiedziała, tu scicha westchnęła,",Sonety VII.,Mickiewicz,123
27081,Tam się zarumieniła -- ach! śród tych pamiątek,Sonety VII.,Mickiewicz,124
27081,Wiecznie miota się serce i plączą się myśli.,Sonety VII.,Mickiewicz,125
27081,VIII.,remove,Mickiewicz,126
27081,DO NIEMNA.,remove,Mickiewicz,127
27081,"Niemnie domowa rzeko moja! gdzie są wody,",Sonety VIII.,Mickiewicz,128
27081,"Które niegdyś czerpałem w niemowlęce dłonie,",Sonety VIII.,Mickiewicz,129
27081,"Na których potém w dzikie pływałem ustronie,",Sonety VIII.,Mickiewicz,130
27081,Sercu niespokojnemu szukając ochłody.,Sonety VIII.,Mickiewicz,131
27081,"Tu Laura patrząc z chlubą na cień swéj urody,",Sonety VIII.,Mickiewicz,132
27081,"Lubiła włos zaplatać i zakwiecać skronie,",Sonety VIII.,Mickiewicz,133
27081,Tu obraz jej malowny w śrébrnéj fali łonie,Sonety VIII.,Mickiewicz,134
27081,Łzami nieraz mąciłem zapaleniec młody.,Sonety VIII.,Mickiewicz,135
27081,"Niemnie domowa rzeko, gdzież są tamte zdroje,",Sonety VIII.,Mickiewicz,136
27081,"A z niémi tyle szczęścia, nadziei tak wiele?",Sonety VIII.,Mickiewicz,137
27081,Kędy jest miłe latek dziecinnych wesele?,Sonety VIII.,Mickiewicz,138
27081,Gdzie milsze burzliwego wieku niepokoje?,Sonety VIII.,Mickiewicz,139
27081,"Kędy jest Laura moja, gdzie są przyjaciele?",Sonety VIII.,Mickiewicz,140
27081,"Wszystko przeszło, a czemuż nie przejdą łzy moje!",Sonety VIII.,Mickiewicz,141
27081,IX.,remove,Mickiewicz,142
27081,STRZELEC.,remove,Mickiewicz,143
27081,Widziałem jak dzień cały pośród letniéj spieki,Sonety IX.,Mickiewicz,144
27081,"Błąkał się strzelec młody; stanął nad strumieniem,",Sonety IX.,Mickiewicz,145
27081,Długo poglądał wkoło i rzecze z westchnieniem,Sonety IX.,Mickiewicz,146
27081,"„Chcę ją widzieć nim kraj ten opuszczę na wieki,",Sonety IX.,Mickiewicz,147
27081,„Chcę widzieć nie widziany”. Wtém leci z za rzeki,Sonety IX.,Mickiewicz,148
27081,"Konna łowczyni strojna Diany odzieniem,",Sonety IX.,Mickiewicz,149
27081,"Wstrzymuje konia, staje, zwraca się wejrzeniem",Sonety IX.,Mickiewicz,150
27081,Zapewne jechał za nią towarzysz daleki.,Sonety IX.,Mickiewicz,151
27081,"Strzelec cofnął się, zadrżał i oczy Kaima",Sonety IX.,Mickiewicz,152
27081,"Zataczając po drodze gorzko się uśmiechał,",Sonety IX.,Mickiewicz,153
27081,"Drżącą ręką broń nabił, dąsa się i zżyma,",Sonety IX.,Mickiewicz,154
27081,"Odszedł nieco, jakoby swej myśli zaniechał.",Sonety IX.,Mickiewicz,155
27081,"Wtem dojrzał mgłę kurzawy, wzniesioną broń trzyma,",Sonety IX.,Mickiewicz,156
27081,"Bierze na cel, mgła bliżej -- lecz nikt nie nadjechał.",Sonety IX.,Mickiewicz,157
27081,X.,remove,Mickiewicz,158
