gutenberg_id,text,title,author
27062,tylko do stania na miejscu. Będę jak mur dla każdego,Romeo I Julia,ShakespearePaszkowski
27062,mężczyzny i dla każdej kobiety z tego domu.,Romeo I Julia,ShakespearePaszkowski
27062,*Grzegorz.* To właśnie pokazuje twoją słabą stronę: mur,Romeo I Julia,ShakespearePaszkowski
27062,dla nikogo niestraszny i tylko słabi go się trzymają.,Romeo I Julia,ShakespearePaszkowski
27062,"*Samson.* Prawda, dlatego to kobiety, jako najsłabsze, tulą",Romeo I Julia,ShakespearePaszkowski
27062,się zawsze do muru. Ja też odtrącę od muru ludzi,Romeo I Julia,ShakespearePaszkowski
27062,"Montekich, a kobiety Montekich przyprę do muru.",Romeo I Julia,ShakespearePaszkowski
27062,*Grzegorz.* Spór jest tylko między naszymi panami i między,Romeo I Julia,ShakespearePaszkowski
27062,"nami, ich ludźmi.",Romeo I Julia,ShakespearePaszkowski
27062,*Samson.* Mniejsza mi o to: będę nieubłagany. Pobiwszy,Romeo I Julia,ShakespearePaszkowski
27062,"ludzi, wywrę wściekłość na kobiety: rzeź między nimi",Romeo I Julia,ShakespearePaszkowski
27062,sprawię.,Romeo I Julia,ShakespearePaszkowski
27062,*Grzegorz.* Rzeź kobiet chcesz przedsiębrać?,Romeo I Julia,ShakespearePaszkowski
27062,*Samson.* Nieinaczej: wtłoczę miecz w każdą po kolei.,Romeo I Julia,ShakespearePaszkowski
27062,"Wiadomo, że się do lwów liczę.",Romeo I Julia,ShakespearePaszkowski
27062,"*Grzegorz.* Tem lepiej, że się liczysz do zwierząt; bo gdybyś",Romeo I Julia,ShakespearePaszkowski
27062,"się liczył do ryb, to byłbyś pewnie sztokfiszem.",Romeo I Julia,ShakespearePaszkowski
27062,"Weźno się za instrument, bo oto nadchodzi dwóch",Romeo I Julia,ShakespearePaszkowski
27062,domowników Montekiego.,Romeo I Julia,ShakespearePaszkowski
27062,    _(Wchodzą: Abraham i Baltazar)._,Romeo I Julia,ShakespearePaszkowski
27062,"*Samson.* Mój giwer już dobyty: zaczep ich, ja stanę z tyłu.",Romeo I Julia,ShakespearePaszkowski
27062,*Grzegorz.* Gwoli drapania?,Romeo I Julia,ShakespearePaszkowski
27062,*Samson.* Nie bój się.,Romeo I Julia,ShakespearePaszkowski
27062,*Grzegorz.* Jabym się miał bać z twojej przyczyny?,Romeo I Julia,ShakespearePaszkowski
27062,"*Samson.* Miejmy prawo za sobą, niech oni zaczną.",Romeo I Julia,ShakespearePaszkowski
27062,"*Grzegorz.* Marsa im nastawię, przechodząc; niech go sobie,",Romeo I Julia,ShakespearePaszkowski
27062,"jak chcą, tłómaczą.",Romeo I Julia,ShakespearePaszkowski
27062,"*Samson.* Nie jak chcą, ale jak śmią. Ja im gębę wykrzywię;",Romeo I Julia,ShakespearePaszkowski
