gutenberg_id,text,title
27081,"Laura błysnęła w oknie, ukląkłem na ganku;",Sonety VI.
27081,"Ona muskając sploty swych złotych warkoczy,",Sonety VI.
27081,"Czemu, rzekła, tak rano smutne macie oczy,",Sonety VI.
27081,"I miesiąc i fijołek i ty mój kochanku?""",Sonety VI.
27081,W wieczór przyszedłem nowym bawić się widokiem;,Sonety VI.
27081,"Wraca xiężyc, twarz jego pełna i rumiana,",Sonety VI.
27081,Fijołek podniósł listki otrzeźwione mrokiem.,Sonety VI.
27081,"Znowu stanęła w oknie moja ukochana,",Sonety VI.
27081,"W piękniejszym jeszcze stroju i z weselszém okiem,",Sonety VI.
27081,Znowu u nóg jéj klęczę--tak smutny jak zrana.,Sonety VI.
27081,VII.,remove
27081,s PETRARKI.,remove
27081,_Senuccio i vo' che sappi._,remove
27081,Chcecie wiedzieć co cierpię rówiennicy moi?,Sonety VII.
27081,Odmaluję najwierniéj ile pióro zdoła.,Sonety VII.
27081,Mary ja dotąd pośród pamiątek kościoła,Sonety VII.
27081,"Myślą gonię, i duch mój o przeszłości roi.",Sonety VII.
27081,"Tu zwykła igrać, ówdzie zamyślona stoi,",Sonety VII.
27081,"Tam z niechęcią twarz kryła, tu mię okiem woła,",Sonety VII.
27081,"Tu gniewna, tam posępna, tu znowu wesoła,",Sonety VII.
27081,"Tu swe lica w łagodność, tu w powagę stroi.",Sonety VII.
27081,"Tam piosenkę nuciła, tu mi dłoń ścisnęła,",Sonety VII.
27081,"Tu usiadła, tam naszéj rozmowy początek,",Sonety VII.
27081,"Stąd biegła, tu na piasku imię moje kryśli,",Sonety VII.
27081,"Tam słówko powiedziała, tu scicha westchnęła,",Sonety VII.
27081,Tam się zarumieniła--ach! śród tych pamiątek,Sonety VII.
27081,Wiecznie miota się serce i plączą się myśli.,Sonety VII.
27081,VIII.,remove
27081,DO NIEMNA.,remove
27081,"Niemnie domowa rzeko moja! gdzie są wody,",Sonety VIII.
27081,"Które niegdyś czerpałem w niemowlęce dłonie,",Sonety VIII.
27081,"Na których potém w dzikie pływałem ustronie,",Sonety VIII.
27081,Sercu niespokojnemu szukając ochłody.,Sonety VIII.
27081,"Tu Laura patrząc z chlubą na cień swéj urody,",Sonety VIII.
27081,"Lubiła włos zaplatać i zakwiecać skronie,",Sonety VIII.
27081,Tu obraz jej malowny w śrébrnéj fali łonie,Sonety VIII.
27081,Łzami nieraz mąciłem zapaleniec młody.,Sonety VIII.
27081,"Niemnie domowa rzeko, gdzież są tamte zdroje,",Sonety VIII.
27081,"A z niémi tyle szczęścia, nadziei tak wiele?",Sonety VIII.
27081,Kędy jest miłe latek dziecinnych wesele?,Sonety VIII.
27081,Gdzie milsze burzliwego wieku niepokoje?,Sonety VIII.
27081,"Kędy jest Laura moja, gdzie są przyjaciele?",Sonety VIII.
27081,"Wszystko przeszło, a czemuż nie przejdą łzy moje!",Sonety VIII.
27081,IX.,remove
27081,STRZELEC.,remove
27081,Widziałem jak dzień cały pośród letniéj spieki,Sonety IX.
27081,"Błąkał się strzelec młody; stanął nad strumieniem,",Sonety IX.
27081,Długo poglądał wkoło i rzecze z westchnieniem,Sonety IX.
27081,"„Chcę ją widzieć nim kraj ten opuszczę na wieki,",Sonety IX.
27081,„Chcę widzieć nie widziany”. Wtém leci z za rzeki,Sonety IX.
27081,"Konna łowczyni strojna Diany odzieniem,",Sonety IX.
27081,"Wstrzymuje konia, staje, zwraca się wejrzeniem",Sonety IX.
27081,Zapewne jechał za nią towarzysz daleki.,Sonety IX.
27081,"Strzelec cofnął się, zadrżał i oczy Kaima",Sonety IX.
27081,"Zataczając po drodze gorzko się uśmiechał,",Sonety IX.
27081,"Drżącą ręką broń nabił, dąsa się i zżyma,",Sonety IX.
27081,"Odszedł nieco, jakoby swej myśli zaniechał.",Sonety IX.
27081,"Wtem dojrzał mgłę kurzawy, wzniesioną broń trzyma,",Sonety IX.
27081,"Bierze na cel, mgła bliżej--lecz nikt nie nadjechał.",Sonety IX.
27081,X.,remove
27081,BOGOSŁAWIEŃSTWO,remove
27081,s PETRARKI.,remove
27081,"Błogosławiony rok ów, miesiąc i niedziela,",Sonety X.
27081,"I dzień ów, i dnia cząstka, i owa godziną,",Sonety X.
27081,"I chwila, i to miejsce, gdzie moja dziewczyna",Sonety X.
27081,"Uczucia mi natchnęła, choć ich nie podziela.",Sonety X.
27081,"Błogosławione oczki blasku i wesela,",Sonety X.
27081,"Skąd amorek wygląda i łuczek napina,",Sonety X.
27081,"Błogosławiony łuczek, strzałki i chłopczyna,",Sonety X.
27081,"Co do mnie wówczas strzelił, ach! i dotąd strzela.",Sonety X.
27081,"Błogosławię ci piérwsza piosnko nieuczona,",Sonety X.
27081,"Którą odbiły lasy domowe i rzeki,",Sonety X.
27081,Którą potém ojczysta powtarzała strona.,Sonety X.
27081,"Błogosławię ci, pióro, którém w czas daleki",Sonety X.
27081,"Wsławiłem Ją, i moją pierś błogosławiona,",Sonety X.
27081,W któréj Laura mieszkała i mieszka na wieki.,Sonety X.
27081,XI.,remove
27081,REZYGNACYA.,remove
27081,"Nieszczęśliwy kto próżno o wzajemność woła,",Sonety XI.
27081,"Nieszczęśliwszy jest kogo próżne serce nudzi,",Sonety XI.
27081,"Lecz ten u mnie ze wszystkich nieszczęśliwszy ludzi,",Sonety XI.
27081,"Kto nie kocha, że kochał, zapomniéć nie zdoła.",Sonety XI.
27081,"Widząc jaskrawe oczy i bezwstydne czoła,",Sonety XI.
27081,"Pamiątkami zatruwa rozkosz, co go łudzi;",Sonety XI.
27081,"A jeśli wdzięk i cnota czucie w nim obudzi,",Sonety XI.
27081,Nie śmie z przekwitłém sercem iść do stóp anioła.,Sonety XI.
27081,"Albo drugimi gardzi, albo siebie wini,",Sonety XI.
27081,"Minie ziemiankę, z drogi ustąpi bogini,",Sonety XI.
27081,A na obiedwie patrząc żegna się z nadzieją.,Sonety XI.
27081,"I serce ma podobne do dawnéj świątyni,",Sonety XI.
27081,"Spustoszałéj niepogód i czasów koleją,",Sonety XI.
27081,"Gdzie bóstwo nie chce mieszkać, a ludzie nie śmieją.",Sonety XI.
27081,XII.,remove
27081,DO ***,remove
27081,"Patrzysz mi w oczy, wzdychasz, zgubna twa prostota,",Sonety XII.
27081,"Lękaj się jadu, który w oczach źmii płonie,",Sonety XII.
27081,"Uciekaj nim cię oddech zatruty owionie,",Sonety XII.
27081,Jeśli nie chcesz kląć reszty twojego żywota.,Sonety XII.
27081,"Szczerość, jeszcze mi jedna pozostałą cnota;",Sonety XII.
27081,"Wiedz że niegodny ogień zapalasz w mém łonie,",Sonety XII.
27081,"Lecz umiém żyć samotny, i po cóż przy zgonie",Sonety XII.
27081,Ma się wikłać w me losy niewinna istota?,Sonety XII.
27081,"Lubię rozkosz, lecz zwodzić nadto jestem dumny",Sonety XII.
27081,"Tyś dziecko, mnie namiętne przepaliły bole,",Sonety XII.
27081,"Tyś szczęśliwa, twe miejsce w biesiadników kole,",Sonety XII.
27081,"Moje, gdzie są przeszłości smętarze i trumny.",Sonety XII.
27081,"Młody bluszczu, zielone obwijaj topole,",Sonety XII.
27081,Zostaw cierniom grobowe otaczać kolumny,Sonety XII.
27081,XIII.,remove
27081,"Piérwszy raz jam niewolnik z mojéj rad niewoli,",Sonety XIII.
27081,"Patrzę na ciebie, s czoła nie znika pogoda,",Sonety XIII.
27081,"Myślę o tobie, z myśli nie znika swobodą,",Sonety XIII.
27081,"Kocham ciebie, a przecież serce mi nie boli.",Sonety XIII.
27081,"Nieraz brałem za szczęście chwileczkę swawoli,",Sonety XIII.
27081,"Nieraz mię obłąkała wyobraźnią młoda,",Sonety XIII.
27081,"Albo słówka zdradliwe i wdzięczna uroda,",Sonety XIII.
27081,Lecz wtenczas i rozkosznéj złorzeczyłem doli.,Sonety XIII.
27081,"Nawet owę, gdy owę kochałem niebiankę,",Sonety XIII.
27081,"Ileż łez, jaki zapał, jaka niegdyś trwoga,",Sonety XIII.
27081,I żal teraz na samę imienia jéj wzmiankę.,Sonety XIII.
27081,"S tobą tylko szczęśliwy, s tobą, moja droga;",Sonety XIII.
27081,"Bogu chwała, że taką zdarzył mi kochankę,",Sonety XIII.
27081,"I kochance, że uczy chwalić Pana Boga.",Sonety XIII.
27081,XIV.,remove
27081,"Luba! ja wzdycham, pamięć niebieskiéj pieszczoty",Sonety XIV.
27081,Trują mi okropnego rozmyślania chwile.,Sonety XIV.
27081,"Ach! może serce twoje, co cierpiało tyle,",Sonety XIV.
27081,"Może, boję się wyrzec, pustoszą zgryzoty.",Sonety XIV.
27081,"Luba, i cożeś winna że twych ocząt groty",Sonety XIV.
27081,"Tak palące, że usta śmieją się tak mile;",Sonety XIV.
27081,"Zbyt ufałaś méj cnocie, zbyt swéj własnej sile,",Sonety XIV.
27081,I nazbyt ognia Stwórca wlał w nasze istoty.,Sonety XIV.
27081,"Przewalczyliśmy wiele i dni i tygodni,",Sonety XIV.
27081,"Młodzi, zawsze samotni, zawsze z sobą w parze,",Sonety XIV.
27081,I byliśmy oboje długo siebie godni.,Sonety XIV.
27081,"Teraz ach! pójdę łzami oblewać ołtarze,",Sonety XIV.
27081,"Nie będę mojéj żebrać przebaczenia zbrodni,",Sonety XIV.
27081,Tylko niech mię Bóg twoją zgryzotą nie karze.,Sonety XIV.
27081,XV.,remove
27081,DZIEŃDOBRY.,remove
27081,"Dzieńdobry! nie śmiem budzić, o wdzięczny widoku!",Sonety XV.
27081,"Jéj duch na poły w rajskie wzleciał okolice,",Sonety XV.
27081,"Na poły został boskie ożywiając lice,",Sonety XV.
27081,"Jak słońce na pół w niebie, pół w srébrnym obłoku.",Sonety XV.
27081,"Dzieńdobry! już westchnęła, błysnął promyk w oku,",Sonety XV.
27081,"Dzieńdobry, już obraża światłość twe źrenice,",Sonety XV.
27081,"Naprzykrzają się ustom muchy swawolnice,",Sonety XV.
27081,"Dzieńdobry, słońce w oknach, ja przy twoim boku.",Sonety XV.
27081,"Niosłem słodszy dzień dobry, lecz twe senne wdzięki",Sonety XV.
27081,Odebrały mi śmiałość; niech się wprzódy dowiém,Sonety XV.
27081,Z łaskawém wstajesz sercem? z orzeźwionym zdrowiem?,Sonety XV.
27081,"Dzieńdobry, nie pozwalasz ucałować ręki?",Sonety XV.
27081,"Każesz odejść, odchodzę, oto masz sukienki,",Sonety XV.
27081,Ubierz się i wyjdź prędko--dzieńdobry ci powiem.,Sonety XV.
27081,XVI.,remove
27081,DOBRANOC.,remove
27081,"Dobranoc! już dziś więcéj nie będziem bawili,",Sonety XVI.
27081,"Niech snu anioł modremi skrzydły cię otoczy,",Sonety XVI.
27081,"Dobranoc, niech odpoczną po łzach twoje oczy,",Sonety XVI.
27081,"Dobranoc, niech się serce pokojem zasili.",Sonety XVI.
27081,"Dobranoc! s każdéj ze mną przemówionéj chwili,",Sonety XVI.
27081,"Niech zostanie dźwięk jakiś cichy i uroczy,",Sonety XVI.
27081,"Niechaj gra w twoim uchu, a gdy myśl zamroczy,",Sonety XVI.
27081,Niech się mój obraz sennym źrenicom przymili.,Sonety XVI.
27081,"Dobranoc! obróć jeszcze raz na mnie oczęta,",Sonety XVI.
27081,Pozwól lica--Dobranoc--chcesz na sługi klasnąć?,Sonety XVI.
27081,"Daj mi pierś ucałować--Dobranoc, zapięta.",Sonety XVI.
27081,"--Dobranoc, już uciekłaś, i drzwi chcesz zatrzasnąć.",Sonety XVI.
27081,"Dobranoc ci przez klamkę, niestety! zamknięta!",Sonety XVI.
27081,Powtarzając dobranoc nie dałbym ci zasnąć.,Sonety XVI.
27081,XVII.,remove
27081,DOBRYWIECZÓR.,remove
27081,Dobrywieczór! on dla mnie najsłodszém życzeniem;,Sonety XVII.
27081,"Nigdy, czyto przed nocą dzieli nas zapora,",Sonety XVII.
27081,"Czyli mię ranna znowu przywołuje pora,",Sonety XVII.
27081,"Nie żegnam się, ni witam s takim zachwyceniem,",Sonety XVII.
27081,"Jak w tę chwilę, wieczornym ośmielony cieniem;",Sonety XVII.
27081,"Ty nawet, milczéć rada i płonić się skora,",Sonety XVII.
27081,"Gdy usłyszysz życzenie dobrego wieczora,",Sonety XVII.
27081,"Żywszém okiem, głośniejszém rozmawiasz westchnieniem.",Sonety XVII.
27081,"Niechaj dzieńdobry wschodzi tym co społem żyją,",Sonety XVII.
27081,"Objaśniać pracę, która ich ręce jednoczy;",Sonety XVII.
27081,"Dobranoc niech szczęśliwych kochanków otoczy,",Sonety XVII.
27081,Gdy z rozkoszy kielicha trosk osłodę piją;,Sonety XVII.
27081,"A tym co się kochają i swą miłość kryją,",Sonety XVII.
27081,Dobrywieczór niech przyćmi zbyt wymowne oczy.,Sonety XVII.
27081,XVIII.,remove
27081,DO D. D.,remove
27081,_WIZYTA._,remove
27081,"Ledwie wnijdę, słów kilka przemówię z nią samą;",Sonety XVIII.
27081,"Jużci dzwonek przerażą, wpada galonowy,",Sonety XVIII.
27081,"Za nim wizyta, za nią ukłony, rozmowy,",Sonety XVIII.
27081,"Ledwie wizyta z bramy, już druga za bramą.",Sonety XVIII.
27081,"Gdybym mógł, progi wilczą otoczyłbym jamą,",Sonety XVIII.
27081,"Stawiłbym lisie pastki, kolczate okowy,",Sonety XVIII.
27081,"A jeśli niedość bronią, uciecbym gotowy",Sonety XVIII.
27081,Na tamten świat stygową zasłonić się tamą.,Sonety XVIII.
27081,"O przeklęty nudziarzu! ja liczę minuty,",Sonety XVIII.
